,Conformer,RMSD_macrocycle,RoG_macrocycle,TF_macrocycle,TFD_macrocycle,RMSD_heavy_atoms,RoG_heavy_atoms,TF_heavy_atoms,TFD_heavy_atoms,Nconf,Span_Rog_macrocycle,Span_Rog_heavy_atoms
21,1OSF_593,0.6458728413837534,3.304300263476516,19.0,0.22447799225756435,1.7299678325653076,4.539061778094401,76.0,0.36929199150818837,1000,0.476448554870442,0.9431866989627977
22,1PFE_291,0.8972667028524606,4.068352210513335,46.0,0.21866364609225072,4.823915481567383,6.980512828484328,162.0,0.2267652047447836,1000,0.6443028669057904,1.753945743786998
23,1PKF_492,0.7023852339299451,3.0677684303485457,16.0,0.015850066105529886,4.295229434967041,4.709530623769568,60.0,0.07221013638974785,1000,0.3270318874120499,0.980912106561008
24,1QPF_929,0.9217311552728633,3.7189389261215617,21.0,0.34890638414896386,6.568994045257568,7.231336041101162,141.0,0.41863238225583477,1000,0.8769012485315426,1.3186258017146786
25,1QPL_677,0.9103353504378617,3.6939169295767877,21.0,0.5218926024126532,3.600038766860962,6.621805433128739,143.0,0.3652626391154863,1000,0.737585839566651,1.0694296315359884
26,1QZ5_842,0.7702562410433554,4.1952546810955695,25.0,1.4035845636372581,6.236179351806641,7.317608579996607,121.0,0.38024784787548,1000,0.8291227769356264,1.8885099559893854
27,1QZ6_378,0.759011919315211,4.294889455053346,25.0,1.325968042481179,6.764431476593018,7.3099354682793205,109.0,0.4892215598690499,1000,0.9158796681768591,2.7635435738641982
28,1S22_34,0.8167885883494054,4.197035325338096,25.0,2.683039015936693,2.9923055171966553,5.680121145751049,90.0,0.52335150040638,1000,0.6315803458453182,1.2421327612131075
29,1SKX_855,0.6842519435278249,4.237677589710136,33.0,0.32518596728086174,1.6470363140106201,4.591317282717128,114.0,0.3869184144334825,1000,0.6603786113532171,0.5835273045102092
30,1TPS_913,0.6792041204703799,3.3906866114835745,19.0,0.12633949946324316,4.452463626861572,7.3008011007155105,124.0,0.2500207334576677,1000,0.4911904501470814,1.7687175556495394
31,1WAW_419,0.6494427395502395,2.904988096553443,15.0,0.13265774407991074,4.352583885192871,5.20284740638258,90.0,0.4622435349765784,1000,0.43158641018064925,1.0522094460036158
32,1WUA_456,1.287840574568837,3.7776592229039303,24.0,2.4843712305182635,5.518428325653076,7.50373155832703,119.0,0.5004661698043368,1000,0.9193062989162026,2.805847540629469
33,1XS7_261,0.6324328076818558,3.0635590148010508,16.0,0.07018780702040019,3.757733106613159,6.991706798929105,80.0,0.3120959894746323,1000,0.6298848913605553,2.324791689331211
34,1XVR-D_359,0.854068196599131,4.352407244769356,36.0,0.11267084936836738,4.00128173828125,7.426441168261072,157.0,0.1499431445181199,1000,0.665583006587227,1.5513567384366613
