,Conformer,RMSD_macrocycle,RoG_macrocycle,TF_macrocycle,TFD_macrocycle,RMSD_heavy_atoms,RoG_heavy_atoms,TF_heavy_atoms,TFD_heavy_atoms,Nconf,Span_Rog_macrocycle,Span_Rog_heavy_atoms
24,1QPF_284,0.8219433157984608,3.5897062099898407,21.0,0.265234027997373,9.652908325195312,5.852032166898403,141.0,0.41229764977954875,1000,1.047675248116914,2.5677227076734654
25,1QPL_978,0.9710978952983076,3.5104895634660176,21.0,0.3525717535922336,4.888225555419922,5.956111156627407,143.0,0.38270344266278467,1000,0.9978089994087371,2.283098759587105
26,1QZ5_707,0.729928839272775,4.362237979720826,25.0,2.1393254308091545,5.269005298614502,6.261453078172417,121.0,0.5589212966181583,1000,0.9441688046531431,3.082280980884538
27,1QZ6_167,0.6268939741173676,4.350814734614118,25.0,1.0658871302543016,5.673469066619873,7.054558245637292,109.0,0.4963857761135939,1000,0.9580377690957289,3.6414189079649537
28,1S22_867,0.598852172383574,4.335881743303922,25.0,1.1455882320630453,2.3006863594055176,5.310293736773908,90.0,0.4607755285396491,995,0.9165247215904078,2.045326161761462
29,1SKX_317,0.5841709422884802,4.320969861360913,33.0,0.06276170207533892,1.205592155456543,4.829338553490798,114.0,0.08556158880472267,608,0.7436040025526953,0.8309126831103644
30,1TPS_359,0.8132477345172281,3.3769071746947343,19.0,0.15375269615702586,6.1074748039245605,6.43328072550371,124.0,0.29837189975043904,1000,0.6866434087611957,2.1676693270097385
31,1WAW_784,0.4973242743785434,2.941078343916672,15.0,0.026694027604983964,3.5180838108062744,5.1415600221644375,90.0,0.4719003384563326,993,0.4918549269766359,1.5319506959111804
32,1WUA_416,0.926095107578163,4.150954554210246,24.0,0.35057195585234313,6.711869239807129,7.817763644708599,119.0,0.43240243832319863,1000,0.9419784041808272,2.8127941806261294
33,1XS7_512,0.6945418517787603,2.8554884697141207,16.0,0.01024828306268877,5.779628753662109,6.518593947497274,80.0,0.2622366052045657,1000,0.6120006931239015,2.9576934649000144
34,1XVR-D_273,0.979046386099148,4.184000924098899,36.0,0.062028490923967006,5.307530403137207,6.6726460248734005,157.0,0.20895102031973747,1000,0.8602631318848277,2.342533474242175
35,1YET_60,0.8871540139795796,3.22814593634714,19.0,0.07911154094143219,1.8534748554229736,3.9680766644397623,72.0,0.2544990547296073,472,0.6980641044752107,0.9758641459793633
36,1YND_654,0.9346762169132976,3.872625229032566,22.0,0.6323240040581705,6.381502151489258,7.762649417854985,149.0,0.29517499427290594,1000,0.907651549786312,4.362755090676247
37,1YXQ_578,2.3280370979255247,5.818920186128361,40.0,1136585.454471169,6.63533878326416,7.695017438010672,170.0,54123.512651241275,1000,1.9860553564085688,3.405187133937101
38,2ASM_150,1.1529997135162888,4.476706240795027,26.0,3.327063691892745,5.2832465171813965,7.139003968999372,111.0,0.5371621930617327,1000,1.1782323587681822,3.1908661437509442
39,2ASO_987,0.8513502375196466,4.353479213950474,26.0,5.506085966944379,4.14880895614624,6.92465932198732,113.0,0.6526669671868228,1000,1.3287076537857478,3.205594204409432
40,2ASP_555,1.2126594329867049,4.263771740249773,26.0,3.439477214767578,4.276217460632324,6.584097332604146,105.0,0.6745426106123568,1000,1.3391852836108455,2.4588312138747073
41,2C6H_17,0.2590535733502947,2.377320929737212,12.0,0.030046579713775556,2.8274292945861816,3.9988084153699797,59.0,0.25628918871575457,794,0.263916040325185,0.9769260849602803
42,2C7X_477,0.547427086888932,2.7748395988451207,14.0,0.03272558572450413,3.092386484146118,4.484533182369311,67.0,0.31746741564033676,945,0.35920759562846927,1.1277313915128517
43,2CV3_930,1.2732697857098345,4.6291912221513725,57.0,0.798396827364977,3.9024205207824707,6.013669477606445,171.0,0.4156552975569816,1000,0.7239210289775215,1.1642970882870909
44,2DG4_1,1.2367946654178188,4.474842776897846,29.0,46.71919047716339,3.9340405464172363,5.235768598875337,124.0,5.041831533462613,1000,1.3016564203594405,1.5532016835076687
45,2F3E_143,0.595265549535711,2.9780872453309066,15.0,0.0691416184520119,3.048319101333618,6.204148295604675,65.0,0.33706704749572713,1000,0.6596012954514388,2.6407692191759597
46,2F3F_969,0.6952746155509527,2.8688764443126322,15.0,0.09779112960041525,3.824007749557495,4.256578127970243,54.0,0.29164784870012356,977,0.6026555223543966,1.6037326871439594
47,2GPL_273,0.3730447010077375,3.0763703500352846,26.0,0.030165818691332235,4.794191837310791,4.7375737720861215,84.0,0.14306203062359635,875,0.32901880657125915,1.3621775132028944
48,2IYA_325,0.5044225701313335,2.8465581247031344,14.0,0.056077756848071265,1.7500492334365845,4.605129348921926,102.0,0.2680289255862313,1000,0.42961116766448226,0.8988477074793257
49,2IYF_283,0.3062592693289251,2.8270150682852155,14.0,0.03872055887878116,1.7047094106674194,4.699360147112122,107.0,0.27925221183852117,1000,0.4687212049576597,0.8541775541332006
50,2OTJ_81,0.8634322679135655,3.2296667646990107,18.0,0.10588438865963011,2.312265396118164,4.69628977310176,82.0,0.37885498353556274,1000,0.7263693099861865,1.247604559291538
51,2PH8_74,0.46873514136397687,3.0531320468548757,16.0,0.03771478383326375,3.61942982673645,3.8503471893548515,58.0,0.3529146578930255,258,0.37292070754371753,0.9105142796689627
52,2Q0R_177,0.9184390259609747,4.617560954968524,26.0,1.8033850567063388,2.878234624862671,5.939351301064973,152.0,0.4460869117072674,999,1.1503775587125329,1.8842210392928074
53,2QZK_255,0.6008542925989108,3.0346325928294724,16.0,0.019063827060854383,2.309420585632324,4.454739767059768,80.0,0.14290266764573148,280,0.4324343922468059,0.8172049589686057
54,2VYP_309,1.684044015407996,4.889778621282869,38.0,247251.6962729763,6.573053359985352,9.26831364556909,172.0,6682.971587584703,1000,2.0926888296428583,4.6755113683679275
55,2VZM_454,0.6475048867609067,2.7161701401897345,14.0,0.0497208969437507,3.988882064819336,3.8556496553496302,67.0,0.4348970852148808,941,0.3541335065811473,1.0508224128992336
56,2WEA_738,0.14695859650257814,2.3650702395576717,12.0,0.02022768360609384,2.0738935470581055,4.241298764623993,76.0,0.25993920820073757,784,0.363316438762221,1.3524635309652728
57,2WHW_448,0.4814430163874259,2.506995358506666,13.0,0.0014316200482169575,2.7015936374664307,3.837550876362435,39.0,0.24224391299252007,458,0.2518034908248099,1.1517713158974106
58,2XBK_701,0.9139405842193002,4.11756460307486,24.0,1.6896983337871965,1.7830532789230347,5.524354562797923,79.0,0.512640664482846,997,1.124910794191091,1.7688342812652103
59,3ABA_629,1.0978071538347383,4.578637280305688,28.0,36.10937359973587,3.0626296997070312,5.349685766527277,59.0,6.488219315930508,998,1.2017210062900694,1.673866609972646
60,3AVJ-D_945,1.1590331717277347,4.260489809039111,24.0,2.705527584725857,2.4026684761047363,5.670029408507826,95.0,0.6285059820859012,1000,1.0768609957382442,1.1622206474940713
61,3DV1_711,0.7012736999787362,2.8235361784361364,15.0,0.09012674035442861,2.7637953758239746,4.691710314871558,43.0,0.26840874292757844,938,0.4601117791105782,1.5214718127234108
62,3DV5_721,0.5822697961380096,3.081037877823386,16.0,0.042716052534849315,4.130346775054932,4.833858250739886,55.0,0.4325134294244441,925,0.5293701759418479,1.9854874156103413
63,3E7A_115,0.9854830416358382,3.2390118715795855,19.0,0.15864254422548105,4.857682228088379,5.987789309808675,97.0,0.42660193420665316,999,0.7237161813969295,1.7117685108346379
64,3EKS_12,0.1483557800676512,2.2921092233793816,11.0,0.011089430515663525,2.579317331314087,4.226267403209596,86.0,0.2748177200095779,399,0.26214651619031315,0.7624529861642966
65,3I6O_882,0.41196198048072286,2.565654365636004,13.0,0.04304283403845843,4.003903388977051,5.297504893152934,86.0,0.33453322237130706,976,0.31024069086591455,1.8583435647938082
66,3K5C_17,0.1723847845244469,3.026740578628881,16.0,0.009017845124959206,3.7431185245513916,4.452297944754902,81.0,0.27500704057462894,838,0.3559624064828708,1.6044119158522383
67,3KEE_47,0.41531053384367606,2.7907513484620923,14.0,0.028211444616824604,2.804628610610962,6.254132674190034,119.0,0.13389691178744742,956,0.4636801928556662,1.9044803735755353
68,3M6G_835,0.9121061055305678,3.637678178440556,20.0,0.24497720316163507,3.037221908569336,6.018334493272887,103.0,0.2837409231406955,999,0.8232325351325209,2.1672695474781136
69,3RQD-D_252,0.7347038668784087,2.9098428841865016,16.0,0.13832396943750297,3.4734838008880615,4.325818733061434,60.0,0.293682883776379,309,0.39244672513539447,0.9729970096980751
70,3WDC_294,0.9754435053668645,3.310333298763716,21.0,0.3777952255641922,3.1869893074035645,5.510482448822962,147.0,0.30192065037998633,1000,0.8524620073560412,1.2802566504102328
71,3WNF-C_546,0.8518317754716489,3.812519830885507,20.0,0.16588334809536184,2.278895616531372,4.801839732548919,74.0,0.33791672407221846,999,0.9079920757782021,1.0762823501190661
72,4GM9_493,0.7365700080157634,3.0119335240703586,16.0,0.04825449842879443,2.3873631954193115,4.818575326436821,69.0,0.2564886961530291,975,0.5951498371622099,1.139695480510294
73,4GVU_859,0.6921514431486473,3.493170768431084,19.0,0.12168929454827347,4.132176876068115,6.053801905183887,123.0,0.36614637752625573,1000,0.7011331474197053,1.9219151790965068
